pm10,temp,bp,rh,ws,co,o3,nox,so2,pm2.5
0.2033,0.4,0.9655,0.4217,0.3333,0.029,0.1104,0.0478,0.1772,140
0.1324,0.4,0.9655,0.4337,0.3704,0.029,0.1244,0.0432,0.1446,140
0.1324,0.4,0.9655,0.4217,0.3148,0.057,0.1297,0.0422,0.1226,140
0.1324,0.4,0.9655,0.4337,0.2407,0.058,0.1434,0.0402,0.079,140
0.1324,0.4,0.9655,0.4096,0.2037,0.063,0.1543,0.0396,0.1196,140
0.1356,0.4,0.9655,0.3735,0.2222,0.046,0.1619,0.0328,0.0911,140
0.1356,0.4,0.9655,0.3614,0.2593,0.041,0.1762,0.0302,0.0816,140
0.0647,0.4,0.9655,0.3494,0.2778,0.041,0.1845,0.0292,0.0776,21
0.0647,0.4,0.9655,0.3614,0.2963,0.045,0.1812,0.0306,0.0771,21
0.0647,0.4,0.9655,0.3614,0.2407,0.046,0.1923,0.0338,0.079,21
0.0647,0.4,0.9655,0.3614,0.2593,0.048,0.1965,0.0368,0.1081,21
0.0772,0.4,0.9655,0.3614,0.2222,0.048,0.1879,0.0386,0.1241,32
0.0772,0.5,0.9655,0.3735,0.2037,0.047,0.1959,0.037,0.1116,32
0.0772,0.5,0.9655,0.3735,0.2593,0.041,0.1737,0.043,0.1346,32
0.0772,0.5,0.9655,0.3735,0.1852,0.041,0.1696,0.0476,0.1476,32
0.0886,0.6,0.9655,0.3855,0.2593,0.041,0.1478,0.0542,0.1557,30
0.0886,0.6,0.9655,0.3976,0.1481,0.053,0.1518,0.0582,0.1582,30
0.0886,0.6,0.9655,0.4096,0.1296,0.055,0.1568,0.0568,0.079,30
0.0886,0.6,0.9655,0.4217,0.1667,0.066,0.1252,0.0614,0.1491,30
0.1053,0.6,0.9655,0.4337,0.0926,0.069,0.1118,0.0714,0.1371,36
0.1053,0.6,0.931,0.4337,0.0926,0.076,0.1195,0.071,0.1196,36
0.1053,0.6,0.931,0.4578,0.0926,0.094,0.0646,0.0932,0.1181,36
0.1053,0.7,0.931,0.494,0.037,0.112,0.0331,0.1144,0.1066,36
0.1648,0.7,0.931,0.5783,0.037,0.112,0.0167,0.1778,0.0831,57
0.1648,0.7,0.931,0.5904,0,0.223,0.0109,0.2292,0.0736,57
0.1648,0.7,0.931,0.6747,0,0.277,0.0194,0.2444,0.079,57
0.1648,0.7,0.931,0.7229,0,0.417,0.0234,0.3234,0.0651,57
0.3316,0.7,0.931,0.747,0,0.545,0.0212,0.3672,0.0596,141
0.3316,0.7,0.931,0.7711,0,0.702,0.0197,0.5206,0.0596,141
0.3316,0.6,0.931,0.7711,0,0.719,0.0212,0.4998,0.0561,141
0.3316,0.5,0.931,0.7952,0,0.884,0.02,0.59,0.0561,141
0.7518,0.5,0.931,0.7952,0,0.884,0.0209,0.6458,0.0581,494
0.7518,0.5,0.931,0.7952,0,0.99,0.0229,0.7732,0.0621,494
0.7518,0.5,0.931,0.8072,0.0185,0.917,0.0309,0.7328,0.079,494
0.7518,0.5,0.931,0.7349,0.0185,0.69,0.0113,0.6932,0.0551,494
0.8321,0.5,0.931,0.7349,0,0.569,0.0007,0.6088,0.0385,566
0.8321,0.5,0.931,0.747,0,0.599,0.0035,0.6146,0.036,566
0.8321,0.5,0.931,0.7711,0,0.6,0.0114,0.6104,0.0325,566
0.8321,0.5,0.931,0.7831,0,0.581,0.015,0.5978,0.0325,566
0.5589,0.5,0.931,0.7952,0,0.581,0.0111,0.585,0.033,388
0.5589,0.5,0.931,0.7831,0.037,0.638,0.0175,0.599,0.03,388
0.5589,0.5,0.931,0.7711,0.0185,0.603,0.0176,0.6254,0.079,388
0.5589,0.5,0.931,0.7349,0.0185,0.485,0.0049,0.6228,0.031,388
0.4932,0.5,0.931,0.747,0.0185,0.484,0.009,0.6118,0.0295,322
0.4932,0.6,0.931,0.7711,0,0.528,0.0131,0.6168,0.0295,322
0.4932,0.8,0.931,0.8072,0,0.577,0.0148,0.6202,0.032,322
0.4932,0.9,0.931,0.8313,0,0.752,0.0189,0.732,0.0325,322
0.5099,0.65,0.931,0.8554,0,0.752,0.042,0.7624,0.0345,315
0.5099,0.6,0.931,0.8675,0,0.711,0.101,0.7614,0.034,315
0.5099,0.8,0.931,0.8795,0,0.748,0.103,0.7324,0.079,315
0.5099,0.6,0.931,0.9036,0,0.724,0.1131,0.7284,0.033,315
0.5099,0.6,0.931,0.8916,0,0.745,0.1221,0.7304,0.034,355
