pm10,temp,bp,rh,ws,co,o3,nox,so2
0.322,0.667,0.931,0.771,0.0,0.719,0.021,0.5,0.056
0.322,0.556,0.931,0.795,0.0,0.884,0.02,0.591,0.056
0.748,0.556,0.931,0.795,0.0,0.142,0.021,0.648,0.058
0.748,0.556,0.931,0.795,0.0,0.99,0.023,0.777,0.062
0.748,0.556,0.931,0.807,0.019,0.917,0.031,0.736,0.078
0.748,0.556,0.931,0.735,0.019,0.69,0.011,0.696,0.055
0.83,0.556,0.931,0.735,0.0,0.569,0.001,0.61,0.039
0.83,0.556,0.931,0.747,0.0,0.599,0.003,0.616,0.036
0.83,0.556,0.931,0.771,0.0,0.6,0.011,0.612,0.033
0.83,0.556,0.931,0.783,0.0,0.581,0.015,0.599,0.033
0.553,0.556,0.931,0.795,0.0,0.142,0.011,0.586,0.033
0.553,0.556,0.931,0.783,0.037,0.638,0.017,0.6,0.03
0.553,0.556,0.931,0.771,0.019,0.603,0.017,0.627,0.078
0.553,0.556,0.931,0.735,0.019,0.484,0.005,0.625,0.031
0.486,0.556,0.931,0.747,0.019,0.483,0.009,0.613,0.03
0.486,0.667,0.931,0.771,0.0,0.528,0.013,0.618,0.03
0.486,0.889,0.931,0.807,0.0,0.577,0.015,0.622,0.032
0.486,1.0,0.931,0.831,0.0,0.752,0.019,0.735,0.033
0.503,0.722,0.931,0.855,0.0,0.173,0.042,0.766,0.035
0.503,0.667,0.931,0.867,0.0,0.711,0.101,0.765,0.034
0.503,0.889,0.931,0.88,0.0,0.748,0.103,0.736,0.078
0.503,0.667,0.931,0.904,0.0,0.724,0.113,0.732,0.033
0.503,0.667,0.931,0.892,0.0,0.745,0.122,0.734,0.034
0.503,0.778,0.931,0.904,0.0,0.743,0.142,0.734,0.035
0.51,0.778,0.931,0.904,0.0,0.705,0.13,0.718,0.038
0.51,0.778,0.931,0.916,0.0,0.705,0.134,0.687,0.034
0.525,0.778,0.931,0.916,0.0,0.122,0.144,0.688,0.034
0.525,0.833,0.931,0.928,0.0,0.649,0.133,0.67,0.031
0.525,0.833,0.931,0.928,0.0,0.64,0.13,0.645,0.078
0.525,0.833,0.931,0.928,0.0,0.615,0.116,0.62,0.028
0.506,0.889,0.931,0.928,0.0,0.576,0.106,0.592,0.022
0.506,0.778,0.931,0.928,0.0,0.569,0.091,0.583,0.022
0.506,0.667,0.931,0.928,0.0,0.542,0.084,0.578,0.022
0.506,0.556,0.931,0.94,0.0,0.47,0.076,0.552,0.02
0.483,0.556,0.931,0.94,0.0,0.142,0.064,0.485,0.019
0.483,0.556,0.931,0.94,0.0,0.367,0.054,0.435,0.014
0.483,0.556,0.931,0.94,0.0,0.298,0.038,0.363,0.078
0.483,0.556,0.931,0.94,0.0,0.297,0.045,0.338,0.012
0.438,0.556,0.931,0.928,0.019,0.269,0.04,0.335,0.016
0.438,0.556,0.931,0.916,0.019,0.236,0.034,0.324,0.017
0.438,0.556,0.931,0.904,0.037,0.211,0.031,0.302,0.017
0.438,0.556,0.931,0.904,0.019,0.196,0.029,0.282,0.015
0.425,0.556,0.931,0.916,0.0,0.142,0.028,0.28,0.014
0.425,0.556,0.931,0.916,0.0,0.228,0.038,0.281,0.014
0.425,0.556,0.931,0.928,0.0,0.259,0.151,0.291,0.078
0.425,0.556,0.931,0.928,0.0,0.253,0.778,0.305,0.016
0.489,0.556,0.931,0.928,0.0,0.252,0.166,0.291,0.021
0.519,0.889,0.931,0.928,0.0,0.123,0.555,0.298,0.999
0.519,0.889,0.931,0.928,0.0,0.251,0.166,0.256,0.023
0.519,0.889,0.931,0.807,0.0,0.249,0.166,0.257,0.027
0.457,0.889,0.931,0.783,0.037,0.25,0.163,0.264,0.03
0.457,0.778,0.931,0.747,0.037,0.245,0.48,0.287,0.046
0.457,0.722,0.966,0.711,0.056,0.278,0.449,0.404,0.083
0.457,0.667,0.966,0.699,0.037,0.308,0.214,0.463,0.097
0.574,0.667,0.966,0.663,0.074,0.169,0.129,0.399,0.103
